Elapsed_time	Temp_cum	Temperature	Num_plante	Genotype	Num_talle	Num_cohorte	Num_rang	Sheath_sumtemp	Sheath_diameter	Sheath_length	Sheath_final_length	Sheath_surface	Sheath_PAR	Photosynthetic
33.0	254.9	-1.1	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
33.0	254.9	-1.1	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
33.0	254.9	-1.1	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
33.0	254.9	-1.1	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
33.0	254.9	-1.1	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
33.0	254.9	-1.1	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
33.0	254.9	-1.1	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
33.0	254.9	-1.1	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
33.0	254.9	-1.1	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
34.0	254.9	-2.0	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
34.0	254.9	-2.0	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
34.0	254.9	-2.0	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
34.0	254.9	-2.0	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
34.0	254.9	-2.0	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
34.0	254.9	-2.0	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
34.0	254.9	-2.0	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
34.0	254.9	-2.0	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
34.0	254.9	-2.0	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
34.0	254.9	-2.0	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
35.0	254.9	-3.3	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
35.0	254.9	-3.3	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
35.0	254.9	-3.3	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
35.0	254.9	-3.3	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
35.0	254.9	-3.3	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
35.0	254.9	-3.3	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
35.0	254.9	-3.3	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
35.0	254.9	-3.3	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
35.0	254.9	-3.3	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
35.0	254.9	-3.3	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
36.0	254.9	-3.0	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
36.0	254.9	-3.0	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
36.0	254.9	-3.0	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
36.0	254.9	-3.0	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
36.0	254.9	-3.0	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
36.0	254.9	-3.0	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
36.0	254.9	-3.0	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
36.0	254.9	-3.0	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
36.0	254.9	-3.0	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
36.0	254.9	-3.0	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
37.0	254.9	-2.4	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
37.0	254.9	-2.4	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
37.0	254.9	-2.4	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
37.0	254.9	-2.4	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
37.0	254.9	-2.4	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
37.0	254.9	-2.4	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
37.0	254.9	-2.4	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
37.0	254.9	-2.4	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
37.0	254.9	-2.4	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
37.0	254.9	-2.4	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
38.0	254.9	-2.1	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
38.0	254.9	-2.1	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
38.0	254.9	-2.1	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
38.0	254.9	-2.1	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
38.0	254.9	-2.1	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
38.0	254.9	-2.1	3	Maxwell	(1,)	-1	1	136.1	0.4	0.0	2.148	0.0	0.0	True
38.0	254.9	-2.1	3	Maxwell	(1,)	-1	2	36.5	0.4	0.0	2.70152	0.0	0.0	True
38.0	254.9	-2.1	4	Maxwell	(1,)	-1	1	198.9	0.4	2.148	2.148	1.34962820398	0.0	True
38.0	254.9	-2.1	4	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
38.0	254.9	-2.1	4	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
39.0	254.9	-0.4	1	Maxwell	(1,)	-1	1	189.1	0.4	1.97984848485	2.148	1.24397549104	0.0	True
39.0	254.9	-0.4	1	Maxwell	(1,)	-1	2	99.4	0.4	0.0	2.70152	0.0	0.0	True
39.0	254.9	-0.4	1	Maxwell	(1,)	-1	3	0.1	0.4	0.0	3.25504	0.0	0.0	True
39.0	254.9	-0.4	2	Maxwell	(1,)	-1	1	179.1	0.4	1.31266666667	2.148	0.824772791322	0.0	True
39.0	254.9	-0.4	2	Maxwell	(1,)	-1	2	78.6	0.4	0.0	2.70152	0.0	0.0	True
