Nom;de;la;demande:Grignon;;;
Pas;de;temps:Journalier;;;;
Date;de;début:01/09/1999;;;;
Date;de;fin:31/08/2000;;;;
Station(s):France;;;;;;
;;;;;;
RG:RAYONNEMENT;GLOBAL;(JOULES/CM2);;;;
TM:TEMPERATURE;MOYENNE;(DEGRES;CELSIUS);;;
PAR:2.02*10000*X;;;;;;
NUM_POSTE;year;month;day;TM;RG;PAR
France;1901;11;26;5.9545454545;415.1375;8385777.5
France;1901;11;27;5.7181818182;430.3125;8692312.5
France;1901;11;28;4.7;396.8125;8015612.5
France;1901;11;29;4.9272727273;352.025;7110905
France;1901;11;30;4.1363636364;392.775;7934055
France;1901;12;1;5.2090909091;395.8125;7995412.5
France;1901;12;2;5.6363636364;393.8625;7956022.5
France;1901;12;3;5.5363636364;368.15;7436630
France;1901;12;4;5.8818181818;381.4375;7705037.5
France;1901;12;5;6.3181818182;379.325;7662365
France;1901;12;6;5.7;366.625;7405825
France;1901;12;7;4.9363636364;333.1;6728620
France;1901;12;8;4.4636363636;383.375;7744175
France;1901;12;9;3.7909090909;401.3;8106260
France;1901;12;10;2.8818181818;410.525;8292605
France;1901;12;11;2.8;405.3625;8188322.5
France;1901;12;12;2.8545454545;401.7;8114340
France;1901;12;13;3.2454545455;343.825;6945265
France;1901;12;14;3.6363636364;354.0125;7151052.5
France;1901;12;15;3.1727272727;318.4875;6433447.5
France;1901;12;16;3.6272727273;344.6625;6962182.5
France;1901;12;17;2.6727272727;366.1375;7395977.5
France;1901;12;18;2.2909090909;373.175;7538135
France;1901;12;19;2.7818181818;350.1;7072020
France;1901;12;20;3.1727272727;321.825;6500865
France;1901;12;21;3.8;280.35;5663070
